class,level,time,latitude,longitude
M,3.3,12 April 2013 at 20:38,106.851,21.126
M,1.1,02 May 2013 at 05:10,187.128,9.271
M,1.3,03 May 2013 at 16:55,186.482,9.694
M,5.7,03 May 2013 at 17:32,71.484,13.41
M,1.4,05 May 2013 at 17:56,79.036,12.555
M,1.3,10 May 2013 at 12:56,334.629,12.955
M,1.3,13 May 2013 at 12:03,296.061,11.625
M,1.3,16 May 2013 at 21:53,294.866,11.212
M,3.2,17 May 2013 at 08:57,294.83,11.198
M,1.7,20 May 2013 at 05:25,216.795,4.426
M,5.0,22 May 2013 at 13:32,328.505,13.184
M,1.3,05 June 2013 at 08:57,125.187,-26.197
M,5.9,07 June 2013 at 22:49,124.217,-30.211
M,2.9,21 June 2013 at 03:14,160.738,-15.295
M,2.9,23 June 2013 at 20:56,128.786,-16.875
M,1.5,03 July 2013 at 07:08,5.143,-10.572
M,1.5,12 August 2013 at 10:41,239.873,-21.745
M,3.3,17 August 2013 at 18:24,215.406,-6.182
M,1.4,17 August 2013 at 19:33,215.421,-6.191
M,2.8,09 October 2013 at 01:48,149.959,-22.299
M,1.7,13 October 2013 at 00:43,148.515,-22.186
M,1.8,15 October 2013 at 08:38,147.065,-20.692
M,1.3,15 October 2013 at 23:36,146.6,-20.51
M,1.2,17 October 2013 at 15:41,165.83,-8.036
M,4.2,22 October 2013 at 21:20,26.827,6.778
M,2.7,23 October 2013 at 20:53,26.929,6.792
M,1.4,23 October 2013 at 23:43,26.919,6.806
M,3.1,24 October 2013 at 00:08,26.92,6.817
M,9.3,24 October 2013 at 00:30,3.554,-12.409
M,2.5,24 October 2013 at 10:09,27.032,6.914
M,3.5,24 October 2013 at 10:33,27.047,6.923
M,2.9,25 October 2013 at 03:02,290.042,-8.514
M,1.3,25 October 2013 at 17:09,289.91,-8.6
M,2.3,25 October 2013 at 19:21,289.893,-8.623
M,1.9,25 October 2013 at 20:58,289.934,-8.645
M,2.3,26 October 2013 at 06:06,290.386,-8.703
M,1.5,26 October 2013 at 09:37,290.532,-8.716
M,1.8,26 October 2013 at 11:17,290.593,-8.734
M,3.1,26 October 2013 at 19:27,261.323,-16.026
M,3.5,27 October 2013 at 12:48,29.229,6.757
M,5.1,28 October 2013 at 04:41,30.375,6.562
M,1.4,28 October 2013 at 11:53,2.925,-12.578
M,2.8,28 October 2013 at 14:05,30.887,6.464
M,2.7,28 October 2013 at 15:01,291.18,-8.976
M,4.4,28 October 2013 at 15:15,291.19,-8.989
M,1.5,28 October 2013 at 20:57,30.891,6.385
M,1.9,31 October 2013 at 13:51,355.167,-12.365
M,6.3,01 November 2013 at 19:53,259.927,-15.428
M,1.6,02 November 2013 at 22:21,260.104,-15.392
M,5.0,03 November 2013 at 05:22,259.992,-15.385
M,2.5,05 November 2013 at 08:18,169.409,-10.498
M,3.8,06 November 2013 at 13:46,169.528,-10.331
M,2.3,07 November 2013 at 03:40,169.567,-10.234
M,2.4,07 November 2013 at 14:25,169.509,-10.229
M,2.3,08 November 2013 at 09:28,205.31,-18.095
M,2.4,11 November 2013 at 11:18,65.232,-18.865
M,1.4,13 November 2013 at 15:20,65.042,-19.381
M,1.2,16 November 2013 at 04:53,100.456,-14.277
M,1.6,16 November 2013 at 07:49,100.566,-14.218
M,1.1,23 November 2013 at 02:32,37.955,7.194
M,1.2,07 December 2013 at 07:29,204.198,-17.646
M,3.5,19 December 2013 at 23:19,281.571,-14.876
M,1.6,20 December 2013 at 11:57,280.417,-14.664
M,1.9,22 December 2013 at 08:11,8.704,-16.395
M,1.1,22 December 2013 at 08:37,8.694,-16.394
M,1.6,22 December 2013 at 14:38,275.753,-15.18
M,3.3,22 December 2013 at 15:12,8.485,-16.636
M,1.6,22 December 2013 at 22:08,8.316,-16.697
M,1.3,23 December 2013 at 00:03,8.337,-16.717
M,1.6,23 December 2013 at 09:06,8.722,-16.802
M,3.1,29 December 2013 at 07:56,221.498,-17.19
M,6.4,31 December 2013 at 21:58,222.436,-16.183
M,9.9,01 January 2014 at 18:52,222.361,-15.798
M,1.7,02 January 2014 at 02:33,100.484,-8.859
M,1.2,02 January 2014 at 22:18,100.771,-9.513
M,1.1,03 January 2014 at 21:14,100.715,-9.702
M,1.3,04 January 2014 at 10:25,100.695,-9.943
M,1.3,04 January 2014 at 10:25,100.695,-9.943
M,1.9,04 January 2014 at 22:52,214.2,-13.194
M,7.2,07 January 2014 at 10:13,98.827,-10.329
M,3.6,08 January 2014 at 03:47,177.833,11.194
M,1.3,13 January 2014 at 21:51,93.582,-11.424
M,4.9,27 January 2014 at 22:10,113.559,-13.603
M,1.5,28 January 2014 at 04:09,111.906,-13.286
M,3.6,28 January 2014 at 07:31,111.593,-13.213
