class,level,time,latitude,longitude
C,1.6,06 March 2011 at 08:36,186.473,-18.4120
C,2.6,06 March 2011 at 09:00,186.517,-18.3987
C,7.5,06 March 2011 at 10:36,186.631,-18.3171
C,1.4,06 March 2011 at 22:00,186.503,-18.2508
C,2.2,06 March 2011 at 23:36,186.385,-18.2908
C,3.0,07 March 2011 at 02:12,186.271,-18.3972
C,5.0,07 March 2011 at 04:36,186.183,-18.4354
C,3.6,07 March 2011 at 07:24,186.295,-18.3425
C,5.1,07 March 2011 at 16:12,186.175,-18.2449
C,7.6,07 March 2011 at 18:24,186.043,-18.2352
C,4.7,08 March 2011 at 00:24,185.389,-18.1664
C,5.5,08 March 2011 at 05:12,185.021,-18.0104
C,8.8,08 March 2011 at 23:36,181.725,-17.8359
C,5.1,06 March 2011 at 12:12,91.3054,9.04230
C,3.9,06 March 2011 at 15:24,91.3678,9.06505
C,7.7,08 March 2011 at 23:12,90.5017,8.74546
C,9.4,09 March 2011 at 09:00,90.5598,8.78368
C,9.4,09 March 2011 at 22:12,90.5258,8.86024
C,2.9,10 March 2011 at 04:00,90.5685,8.89905
C,6.2,10 March 2011 at 07:12,90.6524,8.93386
C,4.2,10 March 2011 at 13:24,90.6794,8.98470
C,4.7,10 March 2011 at 13:48,90.6831,8.98387
C,2.0,10 March 2011 at 14:24,90.6795,8.98090
C,2.8,11 March 2011 at 02:24,90.7255,9.01745
C,5.5,11 March 2011 at 04:36,90.7664,9.01948
C,2.0,11 March 2011 at 11:12,90.8131,9.12193
C,3.6,11 March 2011 at 11:48,90.7979,9.12915
C,1.1,11 March 2011 at 16:12,90.8141,9.15434
C,1.0,11 March 2011 at 22:24,90.7933,9.13839
C,1.0,11 March 2011 at 22:48,90.7941,9.13885
C,2.2,12 March 2011 at 12:24,91.0715,9.10635
C,7.0,12 March 2011 at 13:00,91.0656,9.10923
C,9.6,12 March 2011 at 15:24,91.1367,9.12647
C,1.0,12 March 2011 at 18:00,91.2036,9.11529
C,6.7,13 March 2011 at 13:36,91.5949,9.27460
C,6.4,13 March 2011 at 14:48,91.6246,9.27044
C,4.0,14 March 2011 at 00:24,91.4968,9.25227
C,2.1,15 March 2011 at 05:24,91.4513,9.32287
C,2.9,05 March 2011 at 21:48,59.4867,20.1486
C,6.0,06 March 2011 at 13:48,61.9128,19.4150
C,2.7,09 March 2011 at 16:48,60.8486,19.6937
C,2.2,12 March 2011 at 10:24,62.0885,18.5435
C,1.2,12 March 2011 at 17:36,62.1922,18.4550
C,1.4,12 March 2011 at 22:24,62.0515,18.4287
C,2.2,12 March 2011 at 22:48,62.0443,18.4268
C,1.7,13 March 2011 at 22:00,62.2646,18.2736
C,1.0,14 March 2011 at 05:12,62.5061,18.1060
C,2.2,14 March 2011 at 16:12,62.9153,17.9532
C,5.2,14 March 2011 at 23:36,62.7244,17.9358
C,1.5,15 March 2011 at 08:48,63.0095,17.8875
C,2.6,15 March 2011 at 09:48,63.0055,17.8704
C,1.1,15 March 2011 at 11:24,63.0444,17.8456
C,2.9,15 March 2011 at 17:36,63.2610,17.6850
C,1.3,16 March 2011 at 08:48,63.6301,17.6580
C,1.4,16 March 2011 at 13:48,63.5309,17.7773
C,3.7,16 March 2011 at 20:36,63.6453,17.7673
C,4.7,08 March 2011 at 09:36,160.557,-26.7700
C,2.6,09 March 2011 at 15:48,159.976,-26.4746
C,2.9,09 March 2011 at 21:48,160.001,-26.4766
C,2.4,10 March 2011 at 09:12,159.663,-26.5273
C,4.7,09 March 2011 at 02:24,37.2678,-21.1958
C,6.4,09 March 2011 at 02:36,37.2989,-21.2308
C,1.6,12 March 2011 at 16:36,-16.3989,11.1656
C,1.4,14 March 2011 at 08:12,-20.9703,12.6876
C,3.9,22 March 2011 at 03:36,197.807,-16.2167
C,1.6,22 March 2011 at 22:12,197.916,-16.6311
C,1.1,23 March 2011 at 17:12,197.738,-16.7224
C,1.6,24 March 2011 at 15:36,196.685,-16.7053
C,9.1,24 March 2011 at 17:12,196.641,-16.7346
C,1.3,24 March 2011 at 19:00,196.570,-16.7277
C,1.4,24 March 2011 at 21:00,196.274,-16.7509
C,1.0,25 March 2011 at 00:48,196.003,-16.7582
C,1.0,25 March 2011 at 01:00,195.949,-16.7602
C,1.0,25 March 2011 at 17:12,194.841,-16.3583
C,1.0,26 March 2011 at 01:00,194.060,-16.3298
C,3.1,27 March 2011 at 00:12,193.233,-16.5585
C,1.4,28 March 2011 at 11:36,192.347,-16.9135
C,3.4,01 April 2011 at 02:00,189.020,-17.1464
C,3.1,01 April 2011 at 04:00,189.110,-17.1108
C,1.6,31 March 2011 at 22:24,189.159,-17.1804
C,1.0,27 March 2011 at 23:24,156.025,-27.2512
C,1.1,29 March 2011 at 05:12,134.246,14.4634
C,1.2,29 March 2011 at 21:24,134.609,14.5640
C,1.9,30 March 2011 at 20:00,134.947,14.7768
C,1.2,31 March 2011 at 02:00,135.031,14.8612
C,1.2,03 April 2011 at 05:24,135.663,15.4098
C,1.3,09 April 2011 at 15:48,112.884,14.7330
C,1.4,13 April 2011 at 10:36,16.6441,20.4886
C,1.6,14 April 2011 at 12:24,13.7373,21.2741
C,1.4,16 April 2011 at 04:12,12.0281,22.2513
C,1.8,16 April 2011 at 09:12,12.2249,22.3120
C,3.7,16 April 2011 at 16:48,11.4429,22.8018
C,1.0,16 April 2011 at 20:12,8.06290,23.9736
C,1.2,11 April 2011 at 16:00,-21.0575,13.3169
C,1.8,11 April 2011 at 20:36,-21.1288,13.2711
C,2.5,11 April 2011 at 00:00,-21.0785,13.2829
C,1.7,12 April 2011 at 03:48,-21.0819,13.2462
C,3.1,12 April 2011 at 06:12,-20.5811,13.1587
C,1.1,13 April 2011 at 16:12,339.280,13.3386
C,1.6,14 April 2011 at 07:00,338.851,13.3676
C,2.3,14 April 2011 at 09:48,338.835,13.3283
C,2.4,14 April 2011 at 15:24,338.716,13.2677
C,1.1,14 April 2011 at 17:12,338.667,13.2759
C,1.7,14 April 2011 at 20:12,338.611,13.2740
C,1.1,14 April 2011 at 21:24,338.574,13.2667
C,1.8,15 April 2011 at 04:00,338.566,13.1748
C,1.3,15 April 2011 at 04:36,338.548,13.1683
C,1.6,15 April 2011 at 09:36,338.613,13.1036
C,2.8,15 April 2011 at 13:48,338.601,13.0734
C,2.0,15 April 2011 at 14:48,338.653,13.0553
C,1.6,15 April 2011 at 16:12,338.703,13.0342
C,1.8,15 April 2011 at 22:36,338.672,13.0611
C,5.2,16 April 2011 at 01:00,338.670,13.0696
C,2.1,16 April 2011 at 03:12,338.652,13.0479
C,3.5,16 April 2011 at 05:36,338.648,13.0559
C,5.7,16 April 2011 at 14:12,338.409,13.0563
C,1.8,12 April 2011 at 12:36,279.369,8.50230
C,1.9,13 April 2011 at 03:36,276.315,10.1744
C,1.2,13 April 2011 at 08:00,273.522,11.4362
C,1.0,13 April 2011 at 08:36,273.136,11.6084
C,4.9,14 April 2011 at 05:24,271.318,12.6544
